id, disaster_id, name_of_assessor, county, municipality, code, name_property_owner, street_address,  city,   zip_code, date,lat, lng, location_notes, owner_type, phone_number, home_type, property_type, type_of_disaster, damage_foundation, damage_floor, damage_exterior, damage_interior, damage_plumbing, damage_hvac,damage_roof, damage_electrical, damage_category, flood_insurance, marketvalue_structure, marketvalue_contents, marketvalue_land, insurance_structure, insurance_contents, insurance_land, name_insurance, phone_insurance, disaster_structure, disaster_contents, disaster_land, comments
11,disasterC,Raymond Wagner,Somerset,Burevestnik,47,Harry Matthews,3 South Place,Tonshayevo,607612,1/25/17,56.14403,43.78832,User-centric actuating task-force,Goldenrod,7-(533)292-2036,mobile,type2,flood,0.22,0.69,0.09,0.79,0.15,0.64,0.83,0.83,0.16,FALSE,25030,41850,94958,48232,900,3972,Michael Walker,7-(518)992-8450,90639,12698,83986,Exclusive bottom-line moratorium
12,disasterD,Diane Alvarez,Somewhereelse,Belo Horizonte,31,Martha Baker,9317 Morningstar Court,Novhorod-Siversâ€™kyy,30000-000,5/12/16,-19.92083,-43.93778,Adaptive mission-critical encoding,Blue,55-(595)949-8953,multi_family,type1,fire,0.78,0.61,0.76,0.56,0.38,0.58,0.46,0.46,0.01,TRUE,83517,35510,45366,98694,89909,39743,Arthur Harrison,380-(300)271-3661,52751,47004,63420,Reverse-engineered reciprocal collaboration
13,disasterB,Heather Fowler,Allegheny,San Pedro Zacapa,45,Dorothy Hudson,08601 Rutledge Lane,Jujur,,8/19/16,14.75,-88.11667,Configurable zero defect array,Khaki,504-(343)976-1765,single_family,type3,earthquake,0.67,0.83,0.97,0.95,0.35,0.05,0.72,0.72,0.45,FALSE,51444,53011,65047,28042,13445,80411,Dorothy Hughes,62-(534)849-3626,33805,41126,67695,Fundamental demand-driven standardization
14,disasterA,Gerald Hall,Allegheny,Ushuaia,26,Barbara Gilbert,96657 Veith Pass,Sidi Slimane,9410,3/19/16,-54.8,-68.3,Customer-focused transitional project,Purple,54-(423)185-7565,mobile,type3,landslide,0.42,0.18,0.96,0.78,0.8,0.78,0.14,0.14,0.7,TRUE,40360,52873,93395,50892,45604,31530,Kathryn Bell,212-(554)830-4627,1315,77809,36428,Persevering tangible protocol
15,disasterB,Kelly Ortiz,Allegheny,Charlottesville,43,Gloria Alexander,8160 Warner Court,Rungis,22908,3/17/17,38.0401,-78.4851,Phased radical strategy,Teal,1-(434)805-5838,mobile,type4,fire,0.64,0.22,0.04,0.56,0.99,0.94,0.99,0.99,0.93,TRUE,39089,71658,35812,36748,93178,96109,Phillip Ward,33-(704)931-7742,85182,11439,84726,Total scalable focus group
16,disasterB,Jack Lawson,Somerset,Bologoye,23,Linda West,168 Loeprich Way,EleftheroÃºpolis,171076,10/21/16,57.8799,34.1068,Implemented analyzing utilisation,Fuscia,7-(692)585-9336,mobile,type1,landslide,0.55,0.55,0.06,0.73,0.6,0.97,0.86,0.86,0.38,FALSE,22489,56448,70910,78010,41730,2870,Charles Hudson,30-(572)251-6056,92631,45434,26651,Re-engineered client-server architecture
17,disasterD,Eugene Ruiz,Somewhereelse,Rawang,27,Harry Holmes,4 5th Avenue,Dzyatlava,48100,5/14/16,3.3216,101.4744,Team-oriented grid-enabled Graphic Interface,Aquamarine,60-(305)855-0185,multi_family,type2,fire,0.54,0.33,0.9,0.62,0.96,0.75,0.15,0.15,0.45,TRUE,71965,50574,26251,38434,92615,15861,Roger Armstrong,375-(283)365-7764,81732,46037,61513,Reduced 24 hour circuit
18,disasterB,Donna Davis,Somewhereelse,Lenger,31,Philip West,633 Knutson Street,Nogueira do Cravo,,6/15/16,42.18301,69.88393,User-centric modular workforce,Orange,7-(200)858-9220,single_family,type2,flood,0.39,0.07,0.63,0.44,0.89,0.36,0.2,0.2,0.19,FALSE,86589,12917,19931,72186,44072,1565,Michael Henderson,351-(696)139-2692,73034,35397,31540,Open-architected 24 hour approach
19,disasterD,Aaron Franklin,Somerset,Le Mans,45,Raymond Clark,9676 Atwood Junction,Sukadana Selatan,72004 CEDEX 1,10/27/16,48,0.2,Organized modular installation,Violet,33-(950)793-2590,multi_family,type4,flood,0.58,0.51,0.35,0.16,0.58,0.89,0.91,0.91,0.49,TRUE,34900,84928,99320,29775,12010,99812,Julia Powell,62-(727)308-0025,27090,77757,22616,Stand-alone optimizing hub
20,disasterA,Susan Stevens,Somewhereelse,Longtian,26,Janet Castillo,3158 Katie Point,Vecumnieki,,11/18/16,25.61172,119.4549,Automated full-range secured line,Turquoise,86-(262)206-6700,single_family,type3,earthquake,0.58,0.18,0.4,0.2,0.15,0.2,0.63,0.63,0.56,FALSE,24496,62414,63861,30541,25672,78258,Barbara Lawrence,371-(988)591-8818,28730,42587,26166,Optimized asymmetric middleware
21,disasterC,Sandra Carpenter,Allegheny,Mancagahar,33,Kelly Martin,8479 Fulton Road,Jagistay,,4/4/16,-7.3289,107.5014,Ergonomic global attitude,Teal,62-(804)346-6792,multi_family,type3,flood,0.29,0.33,0.65,0.33,0.28,0.93,0.75,0.75,0.29,FALSE,53654,30914,28701,4448,17953,97072,Raymond Hill,86-(964)295-7902,53722,72711,35586,Compatible multimedia database
22,disasterA,Irene Snyder,Somewhereelse,Tolâ€™yatti,29,Annie Kennedy,68827 Forster Trail,Baraba,456922,4/20/16,53.5303,49.3461,Fully-configurable grid-enabled challenge,Purple,7-(586)253-8134,single_family,type2,earthquake,0.29,0.89,0.43,0.46,0.69,0.14,0.79,0.79,0.03,TRUE,88773,20633,16916,25561,73717,34460,Joseph Austin,7-(409)943-1011,4472,42368,74930,Profound maximized orchestration
23,disasterA,Debra Cooper,Somerset,Carpenter,36,Aaron Fox,36761 Division Junction,KrmelÃ_n,2009,1/12/17,6.45417,124.8725,Synergized 6th generation moratorium,Red,63-(916)402-8951,multi_family,type3,fire,0.9,0.29,0.33,0.53,0.17,0.17,0.72,0.72,0.12,FALSE,38229,80202,26898,96719,71342,10440,Gloria Stewart,420-(514)401-2701,66974,61725,85479,Triple-buffered empowering strategy
24,disasterA,Laura Medina,Allegheny,Tingsiqiao,28,Angela Little,0 Memorial Parkway,Tanahwangko,,3/23/16,29.81668,114.16691,Cloned background framework,Maroon,86-(898)407-8471,mobile,type1,earthquake,0.55,0.77,0.49,0.45,0.35,0.28,0.12,0.12,0.31,TRUE,66408,65804,24426,52926,71642,15932,Joshua Spencer,62-(637)129-9260,14155,77917,42804,De-engineered national hierarchy
25,disasterC,Helen Lawrence,Somewhereelse,Tianyu,43,Rachel Mitchell,8635 1st Place,Kuala Terengganu,,9/26/16,27.1408,115.05337,Configurable eco-centric neural-net,Green,86-(749)964-8850,mobile,type3,flood,0.4,0.83,0.12,0.51,0.5,0.06,0.82,0.82,0.98,TRUE,55132,8373,70881,33693,61938,17106,Sean Williams,60-(746)583-8646,51152,7902,44727,Optional global open system
26,disasterA,Jacqueline Willis,Allegheny,PuÅ‚tusk,1,Samuel Walker,8863 Burrows Drive,Yinchuan,06-102,12/24/16,52.7025,21.08276,Reduced modular matrices,Red,48-(730)545-6361,mobile,type2,fire,0.01,0.43,0.78,0.67,0.11,0.02,0.43,0.43,0.57,FALSE,16980,45885,58562,52037,73872,62717,Sara Murray,86-(322)838-7126,38309,60120,53284,Managed non-volatile core
27,disasterD,Betty Rodriguez,Allegheny,Santo AntÃ_nio,7,Jean Harrison,890 Lakewood Gardens Hill,Gandu,4690-667,11/17/16,40.8062,-8.0062,Realigned optimizing open system,Blue,351-(386)105-9076,multi_family,type3,fire,0.59,0.23,0.89,0.05,0.03,0.59,0.93,0.93,0.74,FALSE,83258,9230,62267,82720,5632,35621,Justin Bell,55-(861)234-2516,50373,88527,28483,Secured bi-directional complexity
28,disasterB,Janice Murray,Allegheny,Sindangsari,39,Gerald Welch,70 Buhler Hill,Roxas,,10/27/16,-7.3698,108.1614,Assimilated scalable structure,Khaki,62-(557)590-8792,mobile,type4,landslide,0.68,0.02,0.09,0.09,0.2,0.78,0.19,0.19,0.45,TRUE,42572,75086,68106,86493,52826,70110,Wanda Nguyen,63-(693)291-3542,9046,91836,6680,Team-oriented neutral service-desk
29,disasterB,Anna Thompson,Somerset,Santa Helena,28,Heather Fernandez,08616 Clyde Gallagher Hill,DzikÃ_w Stary,89915-000,6/15/16,-2.23111,-45.3,Up-sized dedicated intranet,Maroon,55-(668)338-7370,mobile,type4,earthquake,0.82,1,0.67,0.77,0.19,0.77,0.34,0.34,0.39,FALSE,910,38746,84405,80897,49142,78271,Gerald Rose,48-(663)623-5035,40905,42893,61315,Exclusive mobile extranet
30,disasterD,Aaron Wells,Somewhereelse,Chengdong,27,Joan Cunningham,7737 Hazelcrest Avenue,Kuching,,12/1/16,25.3682,118.7011,Innovative optimal website,Teal,86-(669)686-3142,multi_family,type1,fire,0.25,0.12,0.36,0.06,0.48,0.08,0.74,0.74,0.03,FALSE,14484,68891,42520,78018,7702,38735,Jesse Dixon,60-(541)217-5313,66866,8779,24248,Compatible discrete intranet
31,disasterD,Joseph Austin,Somewhereelse,Bayan Qagan,46,James Gutierrez,1 Portage Junction,Shuakhevi,,5/22/16,46.33854,124.04539,Inverse multi-state strategy,Blue,86-(816)830-8240,mobile,type3,fire,0.28,0.87,0.53,0.26,0.38,0.64,0.66,0.66,0.82,TRUE,11300,94094,58075,33328,92465,11204,Ann Torres,995-(146)292-6476,55020,95157,62783,Re-engineered mobile benchmark
32,disasterC,Ronald Price,Allegheny,Gradac,29,Anne Allen,73513 Independence Park,Oyskhara,51253,5/19/16,45.31306,17.81528,Focused mobile focus group,Turquoise,385-(837)618-8358,single_family,type4,flood,0.75,0.35,0.82,0.41,0.76,0.6,0.93,0.93,0.9,FALSE,18299,46847,50804,50402,65905,19643,Steve James,7-(449)228-9572,48728,50993,72517,Implemented fresh-thinking ability
33,disasterC,Gerald Alexander,Somerset,Kadubadak,26,Norma Kim,9816 Fairfield Hill,Guwoterus,,12/15/16,-6.6476,105.8611,Optional content-based ability,Orange,62-(109)761-2386,multi_family,type3,flood,0.14,0,0.77,0.95,0.35,0.95,0.44,0.44,0.75,FALSE,53218,88701,79461,43568,73991,91192,Jose Barnes,62-(972)286-7793,54075,97974,56063,Customer-focused motivating model
34,disasterA,Virginia Willis,Somerset,Quinta dos Frades,28,Karen Mendoza,7 Starling Alley,Yanshi,2420-334,12/14/16,39.9765,-8.5841,Re-engineered impactful software,Turquoise,351-(869)988-8816,mobile,type2,fire,0.67,0.11,0.08,0.32,0.48,0.66,0.87,0.87,0.75,FALSE,32382,24153,350,6017,86925,78273,Martha Patterson,86-(139)662-3211,77363,40240,81286,Sharable discrete database
35,disasterB,Mildred Matthews,Somerset,GÃ¶teborg,4,Harold Frazier,6493 Luster Lane,Vorobâ€™yovo,400 29,7/17/16,57.7072,11.9668,Automated cohesive initiative,Crimson,46-(951)984-5335,single_family,type1,flood,0.3,0.43,0.37,0.54,0.53,0.42,0.76,0.76,0.43,TRUE,47793,74159,93420,45532,17834,79262,Louis Reyes,7-(886)539-5166,78328,94235,59939,Customizable well-modulated secured line
36,disasterB,Earl West,Somewhereelse,Babakanloa,39,Roger Ruiz,761 Coolidge Road,_œ_°Ñ€_¸____,,8/26/16,-7.1361,107.9481,Fundamental background contingency,Violet,62-(843)525-6090,multi_family,type1,fire,0.62,0.42,0.77,0.45,0.27,0.81,0.28,0.28,0.43,FALSE,90822,67466,75080,6788,74837,32536,Joan Arnold,389-(941)516-0734,39522,46428,38758,Pre-emptive directional leverage
37,disasterB,Anne Stewart,Somerset,Santa BÃ¡rbara,9,Martha Ray,6359 Lighthouse Bay Terrace,Jacksonville,,3/30/16,7.81348,-71.17788,Stand-alone well-modulated frame,Aquamarine,58-(194)930-0949,mobile,type3,earthquake,0.72,0.56,0.23,0.19,0.89,0.61,0.9,0.9,0.32,FALSE,66450,24402,31492,56013,43553,87782,Mildred Edwards,1-(904)982-5148,65964,975,77182,Persistent transitional hub
38,disasterB,Douglas Larson,Allegheny,Libei,3,Howard Hanson,41 Crescent Oaks Drive,Buaran,,8/20/16,27.64601,116.13293,Synergistic motivating knowledge base,Crimson,86-(643)122-7735,multi_family,type2,flood,0.19,0.66,0.59,0.36,0.43,0.57,0.64,0.64,0.7,TRUE,86410,60023,79410,21039,66115,79869,Sean Brown,62-(721)610-4830,45708,22527,84763,Decentralized impactful adapter
39,disasterC,Johnny Carr,Somerset,AbaetÃ©,21,Angela Wallace,77465 Maryland Circle,Dollard-Des Ormeaux,35620-000,8/13/16,-19.16,-45.44583,Reverse-engineered object-oriented support,Blue,55-(447)502-3676,multi_family,type2,fire,1,0.79,0.37,0.09,0.46,0.82,0.47,0.47,0.37,TRUE,38243,29433,48625,79870,94077,52610,Todd Nichols,1-(407)997-7063,46385,19186,46313,Profound solution-oriented service-desk
40,disasterB,Diana Scott,Somerset,Watergrasshill,10,Eugene Armstrong,5 Dexter Parkway,Yulin,T56,3/9/17,52.01139,-8.34417,Optional even-keeled middleware,Pink,353-(632)816-0648,single_family,type3,earthquake,0.37,0.06,0.48,0.63,0.6,0.18,0.53,0.53,0.78,TRUE,99652,7123,41369,91959,94048,60538,Catherine Burke,86-(568)783-2942,17987,74090,27169,Multi-channelled non-volatile throughput
41,disasterD,Daniel Gardner,Somerset,Guyancourt,7,Daniel Warren,32427 Del Mar Crossing,HÃ_sselby,78280,6/10/16,48.7733,2.0739,Realigned value-added help-desk,Fuscia,33-(935)672-4888,multi_family,type4,flood,0.4,0.68,0.79,0.94,0.14,0.47,0.52,0.52,0.36,TRUE,37173,29784,39118,45565,44523,47928,Gerald Gonzales,46-(829)696-6467,93282,78241,82756,Synergistic intermediate strategy
42,disasterC,Laura Carroll,Somerset,Yoichi,48,Roger Alexander,00 Morrow Circle,Agrelo,420-0949,10/14/16,43.20389,140.77028,Compatible web-enabled analyzer,Violet,81-(926)713-1640,single_family,type1,fire,0.07,0.41,0.29,0.57,0.14,0.92,0.62,0.62,0.39,FALSE,23470,10656,10746,12702,49657,31350,Kelly Ward,351-(192)906-2572,87872,59800,71051,Automated optimizing superstructure
43,disasterA,Dorothy Allen,Somewhereelse,Piterka,31,Thomas Wagner,0 Randy Junction,Arlington,393995,7/10/16,50.6803,47.4454,Profound human-resource protocol,Indigo,7-(143)840-0648,mobile,type3,earthquake,0.86,0.11,0.1,0.54,0.04,0.59,0.08,0.08,0.64,FALSE,12975,61624,21433,46272,55458,6138,Victor Mcdonald,1-(682)220-7284,1105,72050,77025,Focused bottom-line forecast
44,disasterA,Heather Lewis,Somewhereelse,Oetuke,41,Laura Hall,066 Clove Junction,Mizhhirâ€™ya,,2/10/17,-9.9909,124.5543,Programmable grid-enabled framework,Khaki,62-(244)339-0607,mobile,type1,landslide,0.16,0.83,0.56,0.59,0.91,0.24,0.59,0.59,0.32,FALSE,94998,25037,61691,66397,53667,1672,Daniel Dean,380-(236)305-5125,23089,65869,56844,User-friendly even-keeled utilisation
45,disasterC,Evelyn Bryant,Somerset,Bayan Tuohai,27,Sean Hart,957 Buhler Circle,GuaiÃºba,,4/17/16,49.13333,119.73333,Quality-focused contextually-based frame,Goldenrod,86-(333)422-2029,single_family,type2,earthquake,0.67,0.24,0.64,0.97,0.96,0.46,0.06,0.06,0.89,TRUE,51930,92482,61285,67170,20344,24590,Eugene Hanson,55-(528)579-9142,99762,41015,16964,Ameliorated multi-tasking throughput
46,disasterB,Janice Perkins,Allegheny,Ouro Branco,13,James Fox,2973 Everett Alley,Washington,59347-000,7/10/16,-20.52083,-43.69194,Organized multimedia project,Crimson,55-(792)388-7551,single_family,type2,fire,0.1,0.34,0.65,0.09,0.74,0.55,0.19,0.19,0.16,FALSE,5548,44418,790,51203,89855,55750,Tina Reynolds,1-(202)212-1576,66883,37930,84405,Profit-focused neutral approach
47,disasterB,Sarah Reynolds,Somewhereelse,Daba,20,Ryan Duncan,725 Pearson Place,Nanxing,,1/24/17,22.07338,111.96034,Quality-focused zero administration matrix,Goldenrod,86-(654)394-2592,multi_family,type4,fire,0.37,0.9,0.17,0.29,0.58,0.23,0.15,0.15,0.79,TRUE,19654,97312,8445,39028,12003,20664,Patricia Scott,86-(768)779-3737,37145,4879,70479,Function-based 5th generation hierarchy
48,disasterD,Bobby Oliver,Somewhereelse,Huanan,13,Billy West,4011 Fordem Crossing,Lancaster,,3/18/16,46.2207,130.525,Expanded homogeneous utilisation,Fuscia,86-(877)718-6310,mobile,type1,fire,0.25,0.6,0.97,0.49,0.84,0.51,0.9,0.9,0.12,TRUE,69785,68795,64906,32053,57954,34040,Joyce Tucker,1-(717)698-0942,96709,94056,59806,Synergized 3rd generation methodology
49,disasterA,Christine Howell,Somerset,Katur,10,Philip Burns,97 Gulseth Road,Hailin,,3/9/17,-7.1586,111.7191,Exclusive 5th generation circuit,Crimson,62-(919)769-1835,single_family,type1,earthquake,0.82,0.38,0.46,0.2,0.54,0.84,0.05,0.05,0.61,FALSE,68046,12473,7309,54023,14916,71785,Theresa Dunn,86-(813)119-1933,14069,81590,50709,Persistent methodical emulation
50,disasterB,Anna Garrett,Allegheny,Guandiping,34,Janice Lopez,8786 Judy Park,Ash ShafÄÅ,,4/2/16,29.59232,110.4362,Self-enabling dynamic hardware,Puce,86-(837)683-4613,multi_family,type2,landslide,0.87,0.14,0.23,0.32,0.45,0.42,0.46,0.46,0.21,FALSE,7269,70645,68984,85680,52779,3288,Gloria Arnold,966-(418)531-9603,524,85769,12663,User-friendly uniform synergy
51,disasterA,Rachel Woods,Allegheny,SkoczÃ_w,25,Steven Peterson,5 Lillian Crossing,Wahang Dua,43-430,7/18/16,49.80089,18.7877,Cross-platform zero defect core,Yellow,48-(211)818-2756,mobile,type1,earthquake,0.96,0.17,0.02,0.84,0.55,0.6,0.09,0.09,0.76,TRUE,42412,11608,32144,58004,24575,69913,Denise Davis,62-(146)443-3058,80969,89201,92195,Self-enabling cohesive focus group
52,disasterB,Annie Olson,Somewhereelse,Mancha Khiri,15,Richard Rice,97 Del Mar Plaza,Cipari Satu,40160,6/29/16,16.13048,102.53712,Synergistic clear-thinking migration,Green,66-(698)776-2624,mobile,type3,flood,0.1,0.27,0.7,0.44,0.97,0.8,0.93,0.93,0.27,FALSE,97358,56545,2799,62143,74597,15501,Harry Brown,62-(678)964-6441,11859,73532,80197,Down-sized asymmetric knowledge base
53,disasterC,Joan Long,Allegheny,Krasnoarmeysk,32,Steven Welch,134 Dorton Drive,Artur Nogueira,141292,3/14/17,56.1,38.13333,Horizontal motivating time-frame,Pink,7-(457)300-0256,multi_family,type2,landslide,0.6,0.3,0.98,0.45,0.6,0.19,0.91,0.91,0.58,TRUE,75858,44800,83196,25972,28076,34278,Deborah Stanley,55-(490)686-6731,5467,87443,8565,Grass-roots systemic artificial intelligence
54,disasterA,James Jenkins,Allegheny,Chao,26,Kathleen Reid,09788 Ruskin Place,Huerta Grande,,9/6/16,-8.54306,-78.67917,Visionary reciprocal policy,Mauv,51-(394)804-0922,multi_family,type2,earthquake,0.53,0.01,0.97,0.24,0.04,0.78,0.73,0.73,0.3,FALSE,61521,54787,58940,42254,18850,68116,Kenneth Jacobs,54-(700)907-1103,97980,60872,60209,Team-oriented discrete data-warehouse
55,disasterA,Dorothy Ray,Somewhereelse,GuarujÃ¡,1,Tammy Robertson,067 Doe Crossing Street,Chico,11400-000,7/23/16,-23.99306,-46.25639,Grass-roots multi-tasking instruction set,Green,55-(567)967-0987,single_family,type4,flood,0.37,0.48,0.97,0.87,0.02,0.18,0.78,0.78,0.27,TRUE,10705,63464,15692,40945,20460,87973,James Barnes,1-(530)509-1659,70201,97344,25035,Decentralized regional process improvement
56,disasterA,Mildred Fernandez,Allegheny,Mulhouse,36,Roy Lawson,32900 Judy Street,Rivadavia,68069 CEDEX 2,10/2/16,47.75,7.3333,Function-based actuating neural-net,Khaki,33-(546)682-7212,mobile,type4,earthquake,0.84,0.68,0.84,0.52,0.45,0.74,0.06,0.06,0.73,TRUE,57768,61694,34657,88331,98968,92174,Paul Duncan,54-(960)522-0839,81645,24482,25158,Cloned empowering framework
57,disasterA,Kathy Green,Somewhereelse,Zishan,9,Carl Roberts,3624 Northview Place,Tunbao,,10/18/16,25.95995,115.54122,De-engineered attitude-oriented infrastructure,Violet,86-(894)727-9112,mobile,type3,landslide,0.45,0.05,0.8,0.92,0.5,0.97,0.86,0.86,0.44,FALSE,37448,45906,27504,720,23924,40800,Benjamin Murphy,86-(859)144-1356,68375,48406,52848,Focused 4th generation paradigm
58,disasterB,Richard Moreno,Somerset,NovokhopÃ«rsk,10,Peter Morrison,1 Sundown Pass,Ban Thai Tan,397440,7/12/16,51.0969,41.6252,Progressive needs-based migration,Aquamarine,7-(506)852-7745,multi_family,type2,earthquake,0.6,0.84,0.42,0.56,0.03,0.05,0.48,0.48,0.36,FALSE,48775,13651,78479,94823,9298,72684,Terry Ellis,66-(252)707-0052,28502,27151,88659,Focused secondary encryption
59,disasterC,Carol Jordan,Allegheny,Lyubech,45,Eric Woods,0 Cottonwood Crossing,AÅ£ Å¢afÄ«lah,,11/25/16,51.7026,30.65692,Re-contextualized logistical array,Green,380-(470)693-9662,single_family,type3,flood,0.66,0.27,0.82,0.37,0.37,0.26,0.93,0.93,0.17,FALSE,46777,49329,89394,76377,16757,68151,Eugene Chapman,962-(556)216-5577,57922,44421,33138,User-centric contextually-based framework
60,disasterC,Jason Austin,Somewhereelse,San Francisco,50,Brenda Gardner,21203 6th Plaza,Xiakou,51016,1/6/17,19.1687,-99.9028,Cloned needs-based neural-net,Pink,52-(722)855-1689,multi_family,type2,fire,0.54,0.34,0.38,0.42,0.08,0.94,0.02,0.02,0.56,FALSE,59644,97532,90436,11053,78464,51535,Jean Jordan,86-(119)669-4342,28294,77730,86629,Profound disintermediate product
61,disasterB,Alan Taylor,Somewhereelse,LÃ©fka,48,Rebecca Martin,67 West Place,Nizhniy Novgorod,,8/18/16,35.11199,32.84997,Customer-focused motivating hub,Puce,357-(162)311-9673,multi_family,type1,flood,0.47,0.02,0.09,0.68,0.46,0.84,0.71,0.71,0.5,TRUE,72843,75606,5234,7660,1625,53929,Elizabeth Rose,7-(537)112-1958,34625,62943,9932,Universal client-driven conglomeration
62,disasterA,Joseph Hawkins,Somewhereelse,FushÃ«-BulqizÃ«,15,Samuel Weaver,2 Comanche Parkway,Brest,,6/26/16,41.52194,20.28222,Inverse national solution,Purple,355-(620)829-6186,multi_family,type2,landslide,0.49,0.04,0.11,0.23,0.09,0.76,0.1,0.1,0.85,TRUE,86890,42987,53530,31990,69083,14732,Ronald Martinez,33-(221)172-9613,84601,22653,78187,Decentralized hybrid function
63,disasterD,Tina Robinson,Somewhereelse,Stanowice,24,Rose Berry,26 Westport Alley,Massawa,44-247,3/7/17,50.13037,18.67084,Enhanced object-oriented complexity,Fuscia,48-(261)960-2962,multi_family,type2,earthquake,0.03,0.84,0.24,0.42,0.73,0.35,0.29,0.29,0.97,TRUE,84230,32497,49506,24487,63975,85785,Sarah Ryan,291-(872)164-0996,34006,6873,6115,Cross-platform dynamic orchestration
