id, disaster_id, name_of_assessor, county, municipality, code, name_property_owner, street_address, city, zip_code, date, lat, lng, location_notes, owner_type, phone_number, property_type, home_type, type_of_disaster, damage_foundation, damage_floor, damage_exterior, damage_interior, damage_plumbing, damage_hvac, damage_electrical, damage_category, flood_insurance, marketvalue_structure, marketvalue_contents, marketvalue_land, insurance_structure, insurance_contents, insurance_land, name_insurance, phone_insurance, disaster_structure, disaster_contents, disaster_land, comments
16,8,Samuel Meyer,Allegheny,Mcknight,,Raymond Romero,78 Karstens Avenue,Mcknight,15237,9/16/2014,,,,renter,760-778-4282,residential,mobile_home,flood,25,1,20,33,1,17,3,affected,FALSE,191665,301941,193610,81423,1492,104808,Rose Lowe,450-879-8918,124413,129936,180083,
17,9,George Freeman,Allegheny,Library,,Ann Green,863 Clemons Place,Library,15129,11/5/2015,,,,renter,619-735-6059,residential,mobile_home,hurricane,13,21,26,1,13,7,19,inaccessible,FALSE,209021,90836,101400,82281,32717,24617,Sharon Goodwin,363-753-4589,181965,40496,43054,Structural obstacle
18,10,Christina Rose,Allegheny,West Mifflin,,Theresa Riley,261 School Road,West Mifflin,15123,12/2/2015,,,,renter,609-354-3101,business,home,fire,10,25,2,16,21,25,2,destroyed,FALSE,496378,225925,403661,73393,4147,30472,Simon Moore,123-130-5934,312984,25841,227725,
19,11,Joe Williams,Allegheny,Pittsburgh,,Martin Fox,7 Butterfield Parkway,Pittsburgh,15276,8/20/2016,,,,home_owner,636-240-8840,residential,mobile_home,fire,10,30,10,24,4,21,2,inaccessible,TRUE,160652,27076,236572,71363,1253,77312,Donald Powers,882-237-8515,113484,2677,108042,
20,11,Lisa Lewis,Allegheny,Pittsburgh,,Donna Fox,42 Sherman Point,Pittsburgh,15213,8/20/2016,,,,renter,412-863-1240,residential,mobile_home,fire,16,15,22,20,15,4,8,major,TRUE,6116,8602,195378,4090,1608,89082,Wilma Nash,361-196-9814,5109,4665,171172,
21,11,Frank Gonzalez,Allegheny,Pleasant Hills,,Katherine Nichols,40904 Memorial Trail,Pleasant Hills,15236,8/20/2016,,,,renter,424-217-6788,residential,home,fire,17,14,24,10,19,5,11,major,TRUE,479544,203654,414335,11997,62187,85682,Bernice Larson,128-326-4232,126145,168751,161227,
22,11,George Freeman,Allegheny,Wabash,,Billy Harrison,752 Drewry Point,Wabash,15220,8/20/2016,,,,home_owner,586-273-9386,residential,mobile_home,fire,26,13,12,26,1,1,22,destroyed,FALSE,4236,370185,73299,1431,119328,3005,Nancy Graham,920-996-5602,2348,144859,3493,
23,11,George Freeman,Allegheny,Pittsburgh,,Cheryl Jacobs,76740 Sunfield Road,Pittsburgh,15232,8/20/2016,,,,renter,207-720-1209,business,home,fire,4,23,22,4,14,9,23,minor,FALSE,93105,389968,337326,9967,58064,135621,Terence Burke,601-761-1449,14066,93185,155679,
24,12,Kelly Martin,Allegheny,Wilkinsburg,,Sandra Wood,5 Marcy Point,Wilkinsburg,15221,4/12/2015,,,,home_owner,443-881-2540,residential,mobile_home,hurricane,4,5,24,2,26,2,37,major,TRUE,427598,88153,11974,50241,5108,9727,Billie Powell,990-817-5979,254361,34299,10816,
25,12,Phillip Collins,Allegheny,Coulters,,Anne Murphy,186 Badeau Court,Coulters,15028,4/12/2015,,,,home_owner,515-549-9437,residential,home,hurricane,1,1,26,31,16,25,0,minor,FALSE,101587,446269,8513,15022,18434,2331,Virginia Romero,672-674-5539,43716,29037,7898,
26,13,Theresa Moore,Allegheny,Natrona,,Rebecca Sanchez,965 Novick Lane,Pittsburgh,15224,11/5/2015,,,,home_owner,351-814-6719,residential,mobile_home,earthquake,3,12,18,15,20,20,12,inaccessible,FALSE,140082,94944,367052,4725,13295,23558,Rose Lowe,701-903-6164,62297,75137,176027,
27,13,Andrew Wang,Allegheny,Pittsburgh,,Ashley Clark,5217 Esker Lane,Pittsburgh,15210,11/5/2015,,,,renter,606-277-4377,business,home,earthquake,4,20,7,6,20,21,22,affected,FALSE,14674,82372,93548,5862,5254,1980,Sharon Goodwin,225-826-6193,6049,56404,7489,
28,13,Albert Myers,Allegheny,Millvale,,David Montgomery,23424 Linden Trail,Pittsburgh,15201,11/5/2015,,,,renter,716-899-2097,business,home,earthquake,5,24,18,13,11,10,19,destroyed,FALSE,216376,482888,198204,124754,401097,137472,Simon Moore,879-850-1109,214361,482252,162317,
29,14,Samuel Meyer,Allegheny,Crafton,,George Nguyen,7705 Toban Trail,Crafton,15205,10/26/2016,,,,home_owner,562-941-1383,residential,mobile_home,flood,17,9,10,13,0,23,28,major,TRUE,407832,56015,94259,25606,18644,6012,Donald Powers,601-761-1449,32116,39717,59916,
30,15,George Freeman,Allegheny,Floreffe,,Joan Hall,92 Birchwood Hill,Floreffe,15025,1/1/2017,,,Farm,home_owner,412-681-4966,residential,home,drought,5,55,0,20,0,0,20,destroyed,TRUE,15924,167330,294877,3186,19457,239329,Wilma Nash,990-817-5979,14262,129067,243747,
